"STATION","NAME","DATE","CDSD","CLDD","DP01","DP05","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-06","172","154","6","3","0",,,"0","0","0","29","2","44",,,"0.69","93","6252","26","2.82",,"69.3","82.3","56.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-07","464","293","5","1","0",,,"0","0","0","31","18","45",,,"0.57","98","13","13","1.45",,"74.0","88.6","59.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-08","706","241","5","0","0",,,"0","0","0","31","6","46",,,"0.34","100","16","3","1.15",,"72.7","85.2","60.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-09","816","111","5","4","1",,,"0","0","0","25","4","36",,,"1.11","98","113","97","4.03",,"65.5","78.3","52.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-10","835","19","7","3","2",,,"0","6","0","7","0","26",,,"2.22","89","530","417","5.48",,"51.2","60.4","41.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-11","835","0","7","3","0","7","3","0","22","5","0","0","9","3","2.5","0.85","67","1440","909","3.13","6.2","34.7","43.0","26.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-12","835","0","7","2","0","17","3","0","28","15","0","0","5","9","5.0","0.60","49","2592","1153","1.94","9.0","25.4","31.6","19.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-01","0","0","4","2","0","1","1","3","27","14","0","0","-6","3","3.0","0.56","50","3737","1145","1.53","3.2","23.4","30.7","16.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-02","0","0","5","1","0","3","1","10","25","16","0","0","-16","1","1.3","0.68","60","4954","1217","1.54","2.1","18.5","27.5","9.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-03","0","0","10","3","0","14","6","0","29","11","0","0","6","8","8.0","0.80","60","6004","1050","3.55","17.5","28.6","35.6","21.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-04","28","28","1","0","0",,,"0","10","2","13","0","15",,,"0.14","88","6457","453","0.21",,"50.8","62.3","39.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-05","61","33","10","3","0",,,"0","0","0","21","0","35",,,"0.99","86","6635","178","4.34",,"60.3","71.9","48.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-06","214","153","5","2","1",,,"0","0","0","30","3","46",,,"1.08","94","6664","28","2.50",,"69.2","81.7","56.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-07","430","216","5","1","0",,,"0","0","0","31","9","49",,,"0.63","96","1","1","1.92",,"71.9","84.6","59.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-08","670","240","3","0","0",,,"0","0","0","31","15","47",,,"0.18","99","5","4","0.51",,"72.6","87.3","57.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-09","747","78","3","2","1",,,"0","2","0","15","4","27",,,"1.34","96","238","233","2.69",,"59.8","71.4","48.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-10","762","15","5","2","1",,,"0","4","0","14","0","21",,,"1.28","84","548","310","3.02",,"55.5","68.0","42.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-11","762","0","4","2","1",,,"0","13","0","0","0","25",,,"1.39","63","1258","710","2.99",,"41.3","49.0","33.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1899-12","762","0","4","1","1","7","2","3","28","13","0","0","-7","5","2.5","1.19","58","2442","1184","2.06","5.6","26.8","34.5","19.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-01","0","0","3","0","0","12","1","6","28","10","0","0","-7","1","1.1","0.28","50","3641","1198","1.06","4.1","26.3","34.7","18.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-02","0","0","7","4","1","21","3","9","27","15","0","0","-7","12","10.5","1.05","63","4817","1176","3.72","20.8","19.3","28.9","9.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-03","0","0","9","2","0","22","6","3","31","14","0","0","-5","20","6.0","0.60","47","6065","1248","2.70","14.3","24.7","33.7","15.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-04","1","1","5","0","0","1","1","0","12","0","6","0","22","2","2.0","0.42","81","6549","484","1.44","2.0","47.8","58.5","37.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-05","49","48","6","3","2",,,"0","1","0","21","0","29",,,"2.10","87","6746","197","4.91",,"60.2","72.1","48.3"
